visit_id,cookie_id,page_id,event_type,sequence_number,event_time
ccf365,c4ca42,1,1,1,04-02-2020 19:16
ccf365,c4ca42,2,1,2,04-02-2020 19:16
ccf365,c4ca42,6,1,3,04-02-2020 19:16
ccf365,c4ca42,9,1,4,04-02-2020 19:16
ccf365,c4ca42,9,2,5,04-02-2020 19:17
ccf365,c4ca42,10,1,6,04-02-2020 19:18
ccf365,c4ca42,10,2,7,04-02-2020 19:19
ccf365,c4ca42,11,1,8,04-02-2020 19:19
ccf365,c4ca42,11,2,9,04-02-2020 19:20
ccf365,c4ca42,12,1,10,04-02-2020 19:20
ccf365,c4ca42,13,3,11,04-02-2020 19:21
d58cbd,c81e72,1,1,1,18-01-2020 23:40
d58cbd,c81e72,2,1,2,18-01-2020 23:41
d58cbd,c81e72,4,1,3,18-01-2020 23:42
d58cbd,c81e72,4,2,4,18-01-2020 23:42
d58cbd,c81e72,5,1,5,18-01-2020 23:42
d58cbd,c81e72,5,2,6,18-01-2020 23:43
d58cbd,c81e72,7,1,7,18-01-2020 23:43
d58cbd,c81e72,8,1,8,18-01-2020 23:43
d58cbd,c81e72,8,2,9,18-01-2020 23:44
d58cbd,c81e72,10,1,10,18-01-2020 23:44
d58cbd,c81e72,10,2,11,18-01-2020 23:45
d58cbd,c81e72,12,1,12,18-01-2020 23:45
9a2f24,eccbc8,1,1,1,21-02-2020 03:19
9a2f24,eccbc8,4,1,2,21-02-2020 03:19
9a2f24,eccbc8,4,2,3,21-02-2020 03:19
9a2f24,eccbc8,7,1,4,21-02-2020 03:20
9a2f24,eccbc8,7,2,5,21-02-2020 03:20
9a2f24,eccbc8,10,1,6,21-02-2020 03:20
9a2f24,eccbc8,11,1,7,21-02-2020 03:21
9a2f24,eccbc8,12,1,8,21-02-2020 03:21
9a2f24,eccbc8,13,3,9,21-02-2020 03:22
7caba5,a87ff6,1,1,1,22-02-2020 17:49
7caba5,a87ff6,4,1,2,22-02-2020 17:50
7caba5,a87ff6,5,1,3,22-02-2020 17:50
7caba5,a87ff6,5,2,4,22-02-2020 17:51
7caba5,a87ff6,8,1,5,22-02-2020 17:51
7caba5,a87ff6,9,1,6,22-02-2020 17:52
7caba5,a87ff6,9,2,7,22-02-2020 17:52
f61ed7,e4da3b,1,1,1,01-02-2020 06:30
f61ed7,e4da3b,2,1,2,01-02-2020 06:30
f61ed7,e4da3b,4,1,3,01-02-2020 06:31
f61ed7,e4da3b,8,1,4,01-02-2020 06:31
f61ed7,e4da3b,9,1,5,01-02-2020 06:31
f61ed7,e4da3b,9,2,6,01-02-2020 06:32
f61ed7,e4da3b,10,1,7,01-02-2020 06:33
f61ed7,e4da3b,10,2,8,01-02-2020 06:33
f61ed7,e4da3b,11,1,9,01-02-2020 06:34
f61ed7,e4da3b,12,1,10,01-02-2020 06:34
f61ed7,e4da3b,13,3,11,01-02-2020 06:35
e0ce49,167909,1,1,1,25-01-2020 22:43
e0ce49,167909,2,1,2,25-01-2020 22:44
e0ce49,167909,5,1,3,25-01-2020 22:44
e0ce49,167909,5,2,4,25-01-2020 22:45
e0ce49,167909,6,1,5,25-01-2020 22:46
e0ce49,167909,8,1,6,25-01-2020 22:46
e0ce49,167909,9,1,7,25-01-2020 22:47
e0ce49,167909,9,2,8,25-01-2020 22:47
e0ce49,167909,10,1,9,25-01-2020 22:47
e0ce49,167909,11,1,10,25-01-2020 22:48
e0ce49,167909,11,2,11,25-01-2020 22:48
e0ce49,167909,12,1,12,25-01-2020 22:49
e0ce49,167909,13,3,13,25-01-2020 22:49
8479c1,8f14e4,1,1,1,09-02-2020 17:27
8479c1,8f14e4,2,1,2,09-02-2020 17:28
8479c1,8f14e4,9,1,3,09-02-2020 17:29
8479c1,8f14e4,11,1,4,09-02-2020 17:29
8479c1,8f14e4,11,2,5,09-02-2020 17:30
8479c1,8f14e4,12,1,6,09-02-2020 17:31
8479c1,8f14e4,13,3,7,09-02-2020 17:31
a6c424,c9f0f8,1,1,1,12-02-2020 11:23
a6c424,c9f0f8,2,1,2,12-02-2020 11:24
a6c424,c9f0f8,5,1,3,12-02-2020 11:25
a6c424,c9f0f8,5,2,4,12-02-2020 11:25
a6c424,c9f0f8,7,1,5,12-02-2020 11:26
a6c424,c9f0f8,9,1,6,12-02-2020 11:27
a6c424,c9f0f8,10,1,7,12-02-2020 11:28
a6c424,c9f0f8,11,1,8,12-02-2020 11:28
a6c424,c9f0f8,11,2,9,12-02-2020 11:29
5ef346,45c48c,1,1,1,07-02-2020 17:32
5ef346,45c48c,2,1,2,07-02-2020 17:33
5ef346,45c48c,3,1,3,07-02-2020 17:33
5ef346,45c48c,4,1,4,07-02-2020 17:33
5ef346,45c48c,5,1,5,07-02-2020 17:34
5ef346,45c48c,6,1,6,07-02-2020 17:34
5ef346,45c48c,11,1,7,07-02-2020 17:34
d39d35,d3d944,1,1,1,23-01-2020 21:47
d39d35,d3d944,2,1,2,23-01-2020 21:47
d39d35,d3d944,3,1,3,23-01-2020 21:47
d39d35,d3d944,4,1,4,23-01-2020 21:47
d39d35,d3d944,4,2,5,23-01-2020 21:48
d39d35,d3d944,6,1,6,23-01-2020 21:48
d39d35,d3d944,6,2,7,23-01-2020 21:49
d39d35,d3d944,9,1,8,23-01-2020 21:49
d39d35,d3d944,9,2,9,23-01-2020 21:50
d39d35,d3d944,12,1,10,23-01-2020 21:51
d39d35,d3d944,13,3,11,23-01-2020 21:51
9c2633,6512bd,1,1,1,17-01-2020 04:59
9c2633,6512bd,2,1,2,17-01-2020 05:00
9c2633,6512bd,4,1,3,17-01-2020 05:00
9c2633,6512bd,4,2,4,17-01-2020 05:01
9c2633,6512bd,7,1,5,17-01-2020 05:01
9c2633,6512bd,8,1,6,17-01-2020 05:02
9c2633,6512bd,9,1,7,17-01-2020 05:02
9c2633,6512bd,9,2,8,17-01-2020 05:03
9c2633,6512bd,10,1,9,17-01-2020 05:03
9c2633,6512bd,11,1,10,17-01-2020 05:03
d69e73,c20ad4,1,1,1,06-02-2020 09:09
d69e73,c20ad4,4,1,2,06-02-2020 09:10
d69e73,c20ad4,5,1,3,06-02-2020 09:11
d69e73,c20ad4,9,1,4,06-02-2020 09:11
d69e73,c20ad4,9,2,5,06-02-2020 09:11
d69e73,c20ad4,12,1,6,06-02-2020 09:12
c70085,c51ce4,1,1,1,12-02-2020 08:26
c70085,c51ce4,2,1,2,12-02-2020 08:26
c70085,c51ce4,4,1,3,12-02-2020 08:27
c70085,c51ce4,5,1,4,12-02-2020 08:27
c70085,c51ce4,10,1,5,12-02-2020 08:28
c70085,c51ce4,10,2,6,12-02-2020 08:28
c70085,c51ce4,12,1,7,12-02-2020 08:28
6a20a3,aab323,1,1,1,12-01-2020 02:49
6a20a3,aab323,2,1,2,12-01-2020 02:50
6a20a3,aab323,3,1,3,12-01-2020 02:51
6a20a3,aab323,3,2,4,12-01-2020 02:51
6a20a3,aab323,5,1,5,12-01-2020 02:51
6a20a3,aab323,6,1,6,12-01-2020 02:52
6a20a3,aab323,10,1,7,12-01-2020 02:52
6a20a3,aab323,11,1,8,12-01-2020 02:52
6a20a3,aab323,12,1,9,12-01-2020 02:53
4b5d1b,9bf31c,1,1,1,28-01-2020 04:56
4b5d1b,9bf31c,2,1,2,28-01-2020 04:57
4b5d1b,9bf31c,3,1,3,28-01-2020 04:57
4b5d1b,9bf31c,3,2,4,28-01-2020 04:57
4b5d1b,9bf31c,9,1,5,28-01-2020 04:58
4b5d1b,9bf31c,9,2,6,28-01-2020 04:58
4b5d1b,9bf31c,11,1,7,28-01-2020 04:59
4b5d1b,9bf31c,12,1,8,28-01-2020 05:00
4b5d1b,9bf31c,13,3,9,28-01-2020 05:00
69440b,c74d97,1,1,1,06-01-2020 21:45
69440b,c74d97,2,1,2,06-01-2020 21:46
69440b,c74d97,11,1,3,06-01-2020 21:46
69440b,c74d97,11,2,4,06-01-2020 21:47
69440b,c74d97,12,1,5,06-01-2020 21:47
69440b,c74d97,13,3,6,06-01-2020 21:48
e70fd5,70efdf,1,1,1,17-02-2020 10:05
e70fd5,70efdf,2,1,2,17-02-2020 10:06
e70fd5,70efdf,4,1,3,17-02-2020 10:06
e70fd5,70efdf,4,2,4,17-02-2020 10:07
e70fd5,70efdf,6,1,5,17-02-2020 10:08
e70fd5,70efdf,6,2,6,17-02-2020 10:09
e70fd5,70efdf,9,1,7,17-02-2020 10:09
e70fd5,70efdf,11,1,8,17-02-2020 10:10
e70fd5,70efdf,12,1,9,17-02-2020 10:11
48810d,6f4922,1,1,1,29-02-2020 15:26
48810d,6f4922,2,1,2,29-02-2020 15:27
48810d,6f4922,8,1,3,29-02-2020 15:27
48810d,6f4922,9,1,4,29-02-2020 15:28
fdf383,1f0e3d,1,1,1,11-02-2020 13:52
fdf383,1f0e3d,2,1,2,11-02-2020 13:53
fdf383,1f0e3d,3,1,3,11-02-2020 13:53
fdf383,1f0e3d,3,2,4,11-02-2020 13:54
fdf383,1f0e3d,4,1,5,11-02-2020 13:54
fdf383,1f0e3d,5,1,6,11-02-2020 13:55
fdf383,1f0e3d,6,1,7,11-02-2020 13:55
fdf383,1f0e3d,12,1,8,11-02-2020 13:56
fdf383,1f0e3d,13,3,9,11-02-2020 13:56
378a75,98f137,1,1,1,12-02-2020 23:33
378a75,98f137,2,1,2,12-02-2020 23:34
378a75,98f137,8,1,3,12-02-2020 23:34
378a75,98f137,9,1,4,12-02-2020 23:35
a67606,3c59dc,1,1,1,14-02-2020 21:10
a67606,3c59dc,4,1,2,14-02-2020 21:10
a67606,3c59dc,8,1,3,14-02-2020 21:11
a67606,3c59dc,9,1,4,14-02-2020 21:12
a67606,3c59dc,9,2,5,14-02-2020 21:13
a67606,3c59dc,12,1,6,14-02-2020 21:13
a67606,3c59dc,13,3,7,14-02-2020 21:14
71740f,b6d767,1,1,1,08-02-2020 21:30
71740f,b6d767,2,1,2,08-02-2020 21:31
71740f,b6d767,4,1,3,08-02-2020 21:32
71740f,b6d767,4,2,4,08-02-2020 21:32
71740f,b6d767,5,1,5,08-02-2020 21:33
71740f,b6d767,6,1,6,08-02-2020 21:33
71740f,b6d767,7,1,7,08-02-2020 21:34
71740f,b6d767,7,2,8,08-02-2020 21:34
71740f,b6d767,8,1,9,08-02-2020 21:34
71740f,b6d767,8,2,10,08-02-2020 21:35
71740f,b6d767,9,1,11,08-02-2020 21:35
71740f,b6d767,9,2,12,08-02-2020 21:35
71740f,b6d767,10,1,13,08-02-2020 21:35
71740f,b6d767,10,2,14,08-02-2020 21:36
71740f,b6d767,11,1,15,08-02-2020 21:36
71740f,b6d767,11,2,16,08-02-2020 21:36
71740f,b6d767,12,1,17,08-02-2020 21:37
71740f,b6d767,13,3,18,08-02-2020 21:38
d7fa36,37693c,1,1,1,16-01-2020 22:30
d7fa36,37693c,2,1,2,16-01-2020 22:30
d7fa36,37693c,4,1,3,16-01-2020 22:31
d7fa36,37693c,5,1,4,16-01-2020 22:31
d7fa36,37693c,9,1,5,16-01-2020 22:31
2a5092,1ff1de,1,1,1,23-01-2020 20:05
2a5092,1ff1de,3,1,2,23-01-2020 20:06
2a5092,1ff1de,4,1,3,23-01-2020 20:07
2a5092,1ff1de,4,2,4,23-01-2020 20:07
2a5092,1ff1de,9,1,5,23-01-2020 20:07
2a5092,1ff1de,9,2,6,23-01-2020 20:08
2a5092,1ff1de,10,1,7,23-01-2020 20:08
2a5092,1ff1de,10,2,8,23-01-2020 20:09
2a5092,1ff1de,11,1,9,23-01-2020 20:10
2a5092,1ff1de,12,1,10,23-01-2020 20:11
2a5092,1ff1de,13,3,11,23-01-2020 20:11
ce1b65,8e296a,1,1,1,08-01-2020 18:34
ce1b65,8e296a,2,1,2,08-01-2020 18:35
ce1b65,8e296a,4,1,3,08-01-2020 18:36
ce1b65,8e296a,4,2,4,08-01-2020 18:36
ce1b65,8e296a,5,1,5,08-01-2020 18:36
ce1b65,8e296a,7,1,6,08-01-2020 18:36
ce1b65,8e296a,7,2,7,08-01-2020 18:37
ce1b65,8e296a,8,1,8,08-01-2020 18:38
ce1b65,8e296a,9,1,9,08-01-2020 18:38
ce1b65,8e296a,9,2,10,08-01-2020 18:38
ce1b65,8e296a,11,1,11,08-01-2020 18:39
ce1b65,8e296a,12,1,12,08-01-2020 18:40
ce1b65,8e296a,13,3,13,08-01-2020 18:40
8bfa80,4e732c,1,1,1,26-01-2020 20:57
8bfa80,4e732c,2,1,2,26-01-2020 20:57
8bfa80,4e732c,3,1,3,26-01-2020 20:57
8bfa80,4e732c,3,2,4,26-01-2020 20:57
8bfa80,4e732c,6,1,5,26-01-2020 20:58
8bfa80,4e732c,8,1,6,26-01-2020 20:58
8bfa80,4e732c,8,2,7,26-01-2020 20:58
8bfa80,4e732c,10,1,8,26-01-2020 20:59
37c63a,02e74f,1,1,1,31-01-2020 11:10
37c63a,02e74f,3,1,2,31-01-2020 11:11
37c63a,02e74f,3,2,3,31-01-2020 11:11
37c63a,02e74f,6,1,4,31-01-2020 11:12
37c63a,02e74f,9,1,5,31-01-2020 11:12
37c63a,02e74f,9,2,6,31-01-2020 11:13
37c63a,02e74f,10,1,7,31-01-2020 11:13
37c63a,02e74f,11,1,8,31-01-2020 11:13
37c63a,02e74f,11,2,9,31-01-2020 11:13
37c63a,02e74f,12,1,10,31-01-2020 11:13
37c63a,02e74f,13,3,11,31-01-2020 11:13
32a3fc,33e75f,1,1,1,29-02-2020 02:02
32a3fc,33e75f,2,1,2,29-02-2020 02:03
32a3fc,33e75f,3,1,3,29-02-2020 02:04
32a3fc,33e75f,4,1,4,29-02-2020 02:04
32a3fc,33e75f,5,1,5,29-02-2020 02:05
32a3fc,33e75f,5,2,6,29-02-2020 02:05
32a3fc,33e75f,7,1,7,29-02-2020 02:06
32a3fc,33e75f,7,2,8,29-02-2020 02:06
32a3fc,33e75f,8,1,9,29-02-2020 02:06
32a3fc,33e75f,10,1,10,29-02-2020 02:06
32a3fc,33e75f,12,1,11,29-02-2020 02:07
32a3fc,33e75f,13,3,12,29-02-2020 02:07
0813d2,6ea9ab,1,1,1,10-01-2020 12:01
0813d2,6ea9ab,2,1,2,10-01-2020 12:02
0813d2,6ea9ab,3,1,3,10-01-2020 12:03
0813d2,6ea9ab,3,2,4,10-01-2020 12:03
0813d2,6ea9ab,4,1,5,10-01-2020 12:03
0813d2,6ea9ab,4,2,6,10-01-2020 12:04
0813d2,6ea9ab,6,1,7,10-01-2020 12:05
0813d2,6ea9ab,6,2,8,10-01-2020 12:05
0813d2,6ea9ab,8,1,9,10-01-2020 12:05
0813d2,6ea9ab,9,1,10,10-01-2020 12:06
0813d2,6ea9ab,12,1,11,10-01-2020 12:06
0813d2,6ea9ab,13,3,12,10-01-2020 12:07
cd512e,34173c,1,1,1,02-02-2020 01:54
cd512e,34173c,3,1,2,02-02-2020 01:54
cd512e,34173c,3,2,3,02-02-2020 01:55
cd512e,34173c,6,1,4,02-02-2020 01:56
cd512e,34173c,7,1,5,02-02-2020 01:56
cd512e,34173c,7,2,6,02-02-2020 01:57
cd512e,34173c,12,1,7,02-02-2020 01:57
cd512e,34173c,13,3,8,02-02-2020 01:58
d193fc,c16a53,1,1,1,13-02-2020 18:54
d193fc,c16a53,4,1,2,13-02-2020 18:55
d193fc,c16a53,5,1,3,13-02-2020 18:55
d193fc,c16a53,5,2,4,13-02-2020 18:56
d193fc,c16a53,6,1,5,13-02-2020 18:56
d193fc,c16a53,8,1,6,13-02-2020 18:56
d193fc,c16a53,8,2,7,13-02-2020 18:57
d193fc,c16a53,10,1,8,13-02-2020 18:57
d193fc,c16a53,11,1,9,13-02-2020 18:58
4c98cd,6364d3,1,1,1,17-02-2020 22:10
4c98cd,6364d3,4,1,2,17-02-2020 22:10
4c98cd,6364d3,4,2,3,17-02-2020 22:11
4c98cd,6364d3,7,1,4,17-02-2020 22:11
4c98cd,6364d3,11,1,5,17-02-2020 22:12
4c98cd,6364d3,11,2,6,17-02-2020 22:12
4c98cd,6364d3,12,1,7,17-02-2020 22:13
4c98cd,6364d3,13,3,8,17-02-2020 22:13
8d7256,182be0,1,1,1,03-02-2020 13:00
8d7256,182be0,2,1,2,03-02-2020 13:01
8d7256,182be0,3,1,3,03-02-2020 13:02
8d7256,182be0,3,2,4,03-02-2020 13:02
8d7256,182be0,8,1,5,03-02-2020 13:02
8d7256,182be0,8,2,6,03-02-2020 13:03
8d7256,182be0,11,1,7,03-02-2020 13:03
97cca6,e36985,1,1,1,24-02-2020 07:27
97cca6,e36985,2,1,2,24-02-2020 07:27
97cca6,e36985,4,1,3,24-02-2020 07:28
97cca6,e36985,5,1,4,24-02-2020 07:28
97cca6,e36985,5,2,5,24-02-2020 07:29
97cca6,e36985,7,1,6,24-02-2020 07:30
97cca6,e36985,8,1,7,24-02-2020 07:30
97cca6,e36985,8,2,8,24-02-2020 07:31
97cca6,e36985,9,1,9,24-02-2020 07:32
97cca6,e36985,9,2,10,24-02-2020 07:32
97cca6,e36985,10,1,11,24-02-2020 07:32
97cca6,e36985,10,2,12,24-02-2020 07:32
97cca6,e36985,12,1,13,24-02-2020 07:33
97cca6,e36985,13,3,14,24-02-2020 07:33
6baa37,1c383c,1,1,1,22-01-2020 01:09
6baa37,1c383c,2,1,2,22-01-2020 01:10
6baa37,1c383c,3,1,3,22-01-2020 01:10
6baa37,1c383c,3,2,4,22-01-2020 01:11
6baa37,1c383c,4,1,5,22-01-2020 01:12
6baa37,1c383c,9,1,6,22-01-2020 01:12
6baa37,1c383c,9,2,7,22-01-2020 01:12
6baa37,1c383c,10,1,8,22-01-2020 01:12
6baa37,1c383c,10,2,9,22-01-2020 01:13
6baa37,1c383c,12,1,10,22-01-2020 01:14
6baa37,1c383c,13,3,11,22-01-2020 01:14
64fca2,19ca14,1,1,1,14-02-2020 18:08
64fca2,19ca14,2,1,2,14-02-2020 18:08
64fca2,19ca14,7,1,3,14-02-2020 18:09
64fca2,19ca14,8,1,4,14-02-2020 18:10
64fca2,19ca14,8,2,5,14-02-2020 18:11
64fca2,19ca14,10,1,6,14-02-2020 18:11
64fca2,19ca14,12,1,7,14-02-2020 18:12
64fca2,19ca14,13,3,8,14-02-2020 18:13
d214e6,a5bfc9,1,1,1,03-02-2020 01:15
d214e6,a5bfc9,2,1,2,03-02-2020 01:15
